Date,Activity,Start Time,End Time,F-RPE,U-RPE,L-RPE,(Sets + Rest) x (Reps + Rest) w/ Load,Notes
6/24/2024,Warm-Up,1:45 PM,2:15 PM,5.0,5.0,3.0,"hangboard <> stretch, burpees, shoulders; campus 1-3-5, 1-4, 1-5",
6/24/2024,Bouldering,2:15 PM,3:00 PM,6.0,6.0,3.0,V4-V6,
6/24/2024,Bouldering,3:00 PM,4:15 PM,7.0,8.0,3.0,orange steep V8,
6/24/2024,Power/Strength Endurance,4:15 PM,4:30 PM,6.0,7.0,2.0,10 in 10,
6/27/2024,Warm-Up,8:15 PM,9:00 PM,5.0,5.0,3.0,"hangboard <> stretch, burpees, shoulders; campus 1-3-5, 1-4, 1-5",tweaky left knee?
6/27/2024,Bouldering,9:00 PM,9:45 PM,6.0,8.0,3.0,2 braiden boulders,tweaky right hamstring and hip...
6/27/2024,PumpCap/AnCap,9:45 PM,10:00 PM,9.0,3.0,2.0,"feet-on campus board 90on, 75onoff... 60,45,30,15","supposed to do 90 on, 45 off, 75 on, 40 off, 60 on, 30 off, 40 on, 20 off, 15 on"
7/6/2024,Bouldering,11:15 AM,12:15 PM,5.0,5.0,2.0,,
7/6/2024,Routes,12:45 PM,1:00 PM,8.0,7.0,2.0,,
7/4/2024,Warm-Up,10:15 AM,10:30 AM,5.0,5.0,3.0,,
7/4/2024,Performance,10:30 AM,11:30 AM,6.0,6.0,2.0,,
7/4/2024,Performance,12:00 PM,2:00 PM,8.0,8.0,2.0,,
7/2/2024,Warm-Up,1:00 PM,1:30 PM,5.0,5.0,2.0,,
7/2/2024,Routes,1:45 PM,2:00 PM,8.0,6.0,2.0,,
7/2/2024,Routes,2:15 PM,2:30 PM,8.0,6.0,2.0,,
7/2/2024,Bouldering,3:00 PM,4:00 PM,6.0,6.0,2.0,,mostly slabs
6/29/2024,Warm-Up,7:00 PM,7:30 PM,5.0,5.0,2.0,,
6/29/2024,Power,7:30 PM,8:30 PM,9.0,6.0,2.0,,
6/29/2024,Power/Strength Endurance,8:30 PM,9:00 PM,7.0,7.0,2.0,,
7/8/2024,Warm-Up,4:00 PM,9:00 PM,5.0,5.0,2.0,,2 boulder onsights deep water
7/8/2024,PumpCap/AnCap,9:15 PM,10:00 PM,6.0,6.0,2.0,,"deep water solo comp, felt consistently pumped, but beta choices and execution caused failure"
7/13/2024,Bouldering,4:00 PM,4:15 PM,5.0,5.0,2.0,,2 boulder onsights deep water
7/13/2024,Performance,7:30 PM,9:30 PM,6.0,6.0,2.0,,"deep water solo comp, felt consistently pumped, but beta choices and execution caused failure"
7/15/2024,Warm-Up,4:00 PM,4:30 PM,5.0,5.0,2.0,,
7/15/2024,Bouldering,4:30 PM,6:00 PM,8.0,9.0,2.0,,
7/17/2024,Warm-Up,1:30 PM,2:15 PM,5.0,5.0,2.0,,
7/17/2024,PumpCap/AnCap,2:15 PM,3:00 PM,7.0,7.0,2.0,,
7/20/2024,Warm-Up,2:30 PM,3:00 PM,5.0,5.0,2.0,,
7/20/2024,Bouldering,3:00 PM,5:00 PM,7.5,7.5,2.0,,
7/22/2024,Warm-Up,11:00 AM,11:30 AM,5.0,5.0,2.0,,
7/22/2024,Bouldering,11:30 AM,12:30 PM,8.5,7.0,2.0,,
7/22/2024,Onsight,12:30 PM,12:45 PM,8.0,7.0,2.0,,
7/22/2024,PumpCap/AnCap,12:45 PM,1:15 PM,8.5,6.0,2.0,,
7/25/2024,Warm-Up,6:00 PM,6:30 PM,5.0,6.0,3.0,,"juggy campus board, fingerboard, ground improve, lock-offs, front lever"
7/25/2024,Bouldering,6:30 PM,7:45 PM,7.5,8.5,2.0,,hard boulders V5-V9 at Evolution boulders
7/25/2024,Strength,7:45 PM,8:00 PM,0.0,9.5,0.0,,one arm negatives and lock offs